attention_type,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std,wall_time_mean,wall_time_std
single_head,0.8913157894736842,0.0037998760732088585,0.8911947356165839,0.003587581177913482,74.63698191833343,0.9056968028788622
multihead,0.8917105263157895,0.0024779731389167822,0.8915758141609067,0.002154669669468386,98.71019281833317,0.09058825439758951
local,0.8880263157894737,0.0024333213169614822,0.8876852310217452,0.00231734579236453,99.95218947499961,0.09854579522885495
additive,0.8912719298245614,0.001836876455383518,0.891116385563876,0.0018261360865884022,766.6703062046666,0.6724563419941393
