attention_type,epoch,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,val_accuracy_mean,val_accuracy_std,val_f1_mean,val_f1_std
additive,1,0.6693370884730493,0.005919562924127031,0.4260438244607713,0.013865657760409192,0.8476944444444445,0.0064470780059507765,0.8467814851682957,0.006882020218617319
additive,2,0.4015094867753393,0.0020656629899776487,0.35166864331563313,0.014300995172505887,0.8766944444444444,0.0033336805374729423,0.8762105106341194,0.0035381722229384073
additive,3,0.3278949993017279,0.001147075101817125,0.3123329238891601,0.009234294047686237,0.8904722222222222,0.0030245905752925234,0.8902099972975787,0.0032664741074505976
local,1,0.6456114267096108,0.007344945631013717,0.4128508720927768,0.015656073417857703,0.8565,0.0022561643951134677,0.855674847556758,0.0026473527539975176
local,2,0.39419814334828174,0.0020506453551838067,0.3465673075252109,0.005468463014818925,0.8785,0.002254624876411436,0.8776330218244494,0.002555989230882155
local,3,0.3297284557539739,0.0032290415427360946,0.3150020385980606,0.009264208507553192,0.8913055555555555,0.0029607775505268185,0.8908093204666406,0.002790624947056276
multihead,1,0.6264710031585928,0.007900441037529134,0.3984826340410444,0.012406530936149967,0.8591944444444444,0.0024725343123859996,0.8583203406578774,0.003246601097162372
multihead,2,0.38093189952108597,0.0037607573054947168,0.3389609610901938,0.009604404559964854,0.8807777777777778,0.002118590551740924,0.8797552195452994,0.0026994108198848264
multihead,3,0.3169226600947203,0.0049529755793179964,0.30322606657611,0.014401516108414078,0.8946388888888889,0.0037908271353849334,0.8944494426819448,0.0035648864922848207
singe_head,1,0.6798519875620618,0.005930698109255771,0.4282045358551873,0.008901985835897746,0.8464444444444444,0.0021575663587923588,0.8457331532154039,0.0032734421937780137
singe_head,2,0.4035357687370276,0.0029639529996177074,0.3484973498450385,0.0101940718192182,0.8783888888888889,0.0029015481180710793,0.877445189278825,0.003342506209918493
singe_head,3,0.32610362229818174,0.003986596473218892,0.3052353634701835,0.012450778831673915,0.89325,0.004993746088859602,0.8929442923031363,0.004931976443240923
