epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_f1,epoch_time_sec,attention_type,seed,history_path
1,0.6648983545479951,0.7416666666666667,0.441940301100413,0.84025,0.8388432577823809,255.64003899399995,additive,123,artifacts\additive\seed_123\history.csv
2,0.3992517631053924,0.8580185185185185,0.3677585634390513,0.8733333333333333,0.8726268034968699,255.6107931300012,additive,123,artifacts\additive\seed_123\history.csv
3,0.3268804498800525,0.8848888888888888,0.3210405894517898,0.88925,0.8888779631581801,255.11271865600065,additive,123,artifacts\additive\seed_123\history.csv
1,0.667054849492179,0.7405648148148148,0.4164424110253651,0.8514166666666667,0.8504334052822011,255.8736634549996,additive,42,artifacts\additive\seed_42\history.csv
2,0.4019720330238342,0.856462962962963,0.3404058709939321,0.88,0.879701318306007,255.38968669099995,additive,42,artifacts\additive\seed_42\history.csv
3,0.3276648471399589,0.8843703703703704,0.3133086883624394,0.88825,0.8878200174950194,254.69441655699936,additive,42,artifacts\additive\seed_42\history.csv
1,0.6760580613789735,0.7373425925925926,0.4197487612565359,0.8514166666666667,0.851067792440305,255.8329034039998,additive,777,artifacts\additive\seed_777\history.csv
2,0.4033046641967914,0.8574814814814815,0.346841495513916,0.87675,0.8763034100994812,255.81992365599945,additive,777,artifacts\additive\seed_777\history.csv
3,0.3291397008851722,0.8848888888888888,0.3026494938532511,0.8939166666666667,0.8939320112395361,255.89865528300103,additive,777,artifacts\additive\seed_777\history.csv
1,0.6376175331716184,0.7547685185185186,0.4298656157652537,0.8549166666666667,0.8534100175385876,33.516570927999965,local,123,artifacts\local\seed_123\history.csv
2,0.3923887775297518,0.8619907407407408,0.3525574628512065,0.8761666666666666,0.8750158056623325,33.174775996999415,local,123,artifacts\local\seed_123\history.csv
3,0.3276291815395708,0.8853240740740741,0.3248467964331309,0.8884166666666666,0.8879220992834242,33.37034754100023,local,123,artifacts\local\seed_123\history.csv
1,0.6520622430554143,0.748712962962963,0.3990532726446787,0.8590833333333333,0.8585852910655287,33.73081545000059,local,42,artifacts\local\seed_42\history.csv
2,0.3937800288906803,0.8616759259259259,0.3418423116207122,0.8786666666666667,0.8777602258175892,33.022869450000144,local,42,artifacts\local\seed_42\history.csv
3,0.3281094799041748,0.8856759259259259,0.3064552815755208,0.8943333333333333,0.8934921053698462,33.1031247840001,local,42,artifacts\local\seed_42\history.csv
1,0.6471545039017995,0.7488333333333334,0.409633727868398,0.8555,0.8550292340661576,33.30559574500057,local,777,artifacts\local\seed_777\history.csv
2,0.3964256236244131,0.8598796296296296,0.345302148103714,0.8806666666666667,0.8801230339934266,33.491610186999424,local,777,artifacts\local\seed_777\history.csv
3,0.3334467058181762,0.8833703703703704,0.3137040377855301,0.8911666666666667,0.8910137567466514,33.02628992300015,local,777,artifacts\local\seed_777\history.csv
1,0.6173616932233175,0.7615925925925926,0.4110387234687805,0.8573333333333333,0.8554687147129457,32.882322888999624,multihead,123,artifacts\multihead\seed_123\history.csv
2,0.3782761907224302,0.8656944444444444,0.3481857207218806,0.8789166666666667,0.8776290095752716,33.09869060500023,multihead,123,artifacts\multihead\seed_123\history.csv
3,0.3162324775987201,0.8876111111111111,0.3181177080869675,0.8904166666666666,0.8904042173505367,32.75496687000032,multihead,123,artifacts\multihead\seed_123\history.csv
1,0.631452651059186,0.754824074074074,0.3862312758763631,0.862,0.8618536618240973,32.913482537000164,multihead,42,artifacts\multihead\seed_42\history.csv
2,0.3792842365547463,0.8644444444444445,0.3396798516909281,0.8803333333333333,0.8788444344252093,32.826893505000044,multihead,42,artifacts\multihead\seed_42\history.csv
3,0.3123509736193551,0.8890648148148148,0.2893706494172414,0.89775,0.8971320021004061,32.984742001000086,multihead,42,artifacts\multihead\seed_42\history.csv
1,0.6305986651932751,0.7540648148148148,0.3981779027779897,0.85825,0.8576386454365892,32.90283840900065,multihead,777,artifacts\multihead\seed_777\history.csv
2,0.3852352712860813,0.8633981481481482,0.3290173108577728,0.8830833333333333,0.8827922146354172,33.02279686200018,multihead,777,artifacts\multihead\seed_777\history.csv
3,0.3221845290660858,0.8860833333333333,0.3021898422241211,0.89575,0.8958121085948919,32.61586901800001,multihead,777,artifacts\multihead\seed_777\history.csv
1,0.673217466460334,0.7367962962962963,0.4379413402875264,0.844,0.8421638417994696,25.071623089999772,singe_head,123,artifacts\singe_head\seed_123\history.csv
2,0.4010357015662723,0.8561944444444445,0.3579110810756683,0.8759166666666667,0.874788405406567,25.29258810699957,singe_head,123,artifacts\singe_head\seed_123\history.csv
3,0.3231484407054053,0.8852222222222222,0.319606170574824,0.8875,0.8872524338634538,25.114543742000023,singe_head,123,artifacts\singe_head\seed_123\history.csv
1,0.6816993748611874,0.7342685185185185,0.4261894354820251,0.84725,0.8464405736621268,24.754728703000183,singe_head,42,artifacts\singe_head\seed_42\history.csv
2,0.4027616320009585,0.855462962962963,0.3499105617205302,0.8776666666666667,0.8763490250998218,24.06970958800048,singe_head,42,artifacts\singe_head\seed_42\history.csv
3,0.3245245600629736,0.8853981481481481,0.2984130313793818,0.8965,0.8959528630417963,24.512138136999965,singe_head,42,artifacts\singe_head\seed_42\history.csv
1,0.6846391213646641,0.7304907407407407,0.4204828317960103,0.8480833333333333,0.8485950441846151,25.04350728100053,singe_head,777,artifacts\singe_head\seed_777\history.csv
2,0.4068099726438522,0.853462962962963,0.337670406738917,0.8815833333333334,0.8811981373300865,25.13550681200013,singe_head,777,artifacts\singe_head\seed_777\history.csv
3,0.3306378661261664,0.8826851851851852,0.2976868884563446,0.89575,0.8956275800041591,24.76641517600001,singe_head,777,artifacts\singe_head\seed_777\history.csv
